s_0,2578
s_1,2204
s_2,0
s_3,0
s_4,227
s_5,215
s_6,324
s_7,175
s_8,0
s_9,134
s_10,49
f_0,1500.0,1500.0,1453.18,1452.58,1224.34,1224.34,1224.34,1224.34,1224.34,1224.34
f_1,1383.89,1252.32,1290.25,1284.06,1285.65,1204.8,1204.8,1204.8,1204.8,1204.8
f_2,1256.39,1229.14,1229.14,1229.14,1229.14,1229.14,1229.14,1229.14,1229.14,1229.14
f_3,1210.14,1192.0,1190.44,1189.96,1189.96,1189.96,1189.96,1189.96,1189.96,1189.96
f_4,1500.0,1491.98,1484.7,1422.6,1388.07,1368.08,1321.68,1313.6,1311.51,1308.49
f_5,1500.0,1489.53,1494.86,1456.51,1434.38,1421.9,1393.07,1368.3,1359.24,1354.89
f_6,1217.57,1211.21,1200.74,1200.74,1200.74,1200.74,1200.74,1200.74,1200.74,1200.74
f_7,1357.88,1435.26,1336.22,1226.58,1226.35,1226.35,1226.35,1226.35,1226.35,1226.35
f_8,1222.4,1192.65,1190.57,1189.96,1189.96,1189.96,1189.96,1189.96,1189.96,1189.96
f_9,1328.0,1371.21,1159.76,959.78,846.76,760.63,760.63,760.63,760.63,760.63
f_10,1308.03,1102.28,809.63,760.68,760.65,760.63,760.63,760.63,760.63,760.63
i_0,943.72,943.72,899.69,823.95,717.9,717.9,717.9,717.9,717.9,717.9
i_1,109.58,99.06,102.11,101.62,96.14,92.97,92.97,92.97,92.97,92.97
i_2,143.29,138.51,138.51,138.51,138.51,138.51,138.51,138.51,138.51,138.51
i_3,565.37,512.97,500.17,498.98,498.99,498.99,498.99,498.99,498.99,498.99
i_4,333.83,332.17,330.7,325.3,318.12,310.51,291.58,287.47,286.13,284.45
i_5,589.4,585.09,585.16,583.79,576.63,571.4,554.3,535.06,528.07,521.49
i_6,285.36,279.95,273.92,273.92,273.92,273.92,273.92,273.92,273.92,273.92
i_7,169.84,179.85,166.24,150.0,149.82,149.82,149.82,149.82,149.82,149.82
i_8,580.74,518.3,501.23,498.98,498.99,498.99,498.99,498.99,498.99,498.99
i_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
